Linux 3.10.0-1160.45.1.el7.x86_64 (e5-cse-ladon.cse.psu.edu) 	01/01/2022 	_x86_64_	(48 CPU)

01:38:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:20 PM     all      3.71      0.00      2.60      0.02      0.00     93.67
01:38:20 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       6     97.00      0.00      3.00      0.00      0.00      0.00
01:38:20 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
01:38:20 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      20      1.01      0.00      1.01      0.00      0.00     97.98
01:38:20 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      27     39.39      0.00     60.61      0.00      0.00      0.00
01:38:20 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      36     41.00      0.00     59.00      0.00      0.00      0.00
01:38:20 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      45      1.00      0.00      0.00      0.00      0.00     99.00
01:38:20 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:38:20 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:38:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:21 PM     all      3.71      0.00      2.62      0.00      0.00     93.67
01:38:21 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       6     96.97      0.00      3.03      0.00      0.00      0.00
01:38:21 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      20      0.00      0.00      2.00      0.00      0.00     98.00
01:38:21 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      27     41.58      0.00     58.42      0.00      0.00      0.00
01:38:21 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      36     38.61      0.00     61.39      0.00      0.00      0.00
01:38:21 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:38:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:22 PM     all      3.63      0.00      2.65      0.00      0.00     93.73
01:38:22 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       5      0.99      0.00      0.00      0.00      0.00     99.01
01:38:22 PM       6     95.00      0.00      5.00      0.00      0.00      0.00
01:38:22 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
01:38:22 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
