Linux 3.10.0-1160.45.1.el7.x86_64 (e5-cse-ladon.cse.psu.edu) 	01/01/2022 	_x86_64_	(48 CPU)

04:08:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:08:36 PM     all      3.69      0.00      2.69      0.00      0.00     93.62
04:08:36 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM       2     40.00      0.00     60.00      0.00      0.00      0.00
04:08:36 PM       3      0.99      0.00      0.00      0.00      0.00     99.01
04:08:36 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM       7     96.00      0.00      4.00      0.00      0.00      0.00
04:08:36 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      24     38.00      0.00     62.00      0.00      0.00      0.00
04:08:36 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      29      0.00      0.00      1.01      0.00      0.00     98.99
04:08:36 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      36      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      39      1.00      0.00      2.00      0.00      0.00     97.00
04:08:36 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

