Linux 5.11.0-41-generic (Niramay-Inspiron-5515) 	12/19/2021 	_x86_64_	(16 CPU)

11:58:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:04 AM     all      8.53      0.00      1.92      0.00      0.00     89.56
11:58:04 AM       0      5.22      0.00     14.78      0.00      0.00     80.00
11:58:04 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:04 AM       2      3.03      0.00      0.00      0.00      0.00     96.97
11:58:04 AM       3      2.00      0.00      0.00      0.00      0.00     98.00
11:58:04 AM       4      1.98      0.00      0.99      0.00      0.00     97.03
11:58:04 AM       5      1.00      0.00      1.00      0.00      0.00     98.00
11:58:04 AM       6      3.96      0.00      0.99      0.00      0.00     95.05
11:58:04 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:04 AM       8     50.50      0.00      0.99      0.00      0.00     48.51
11:58:04 AM       9     50.50      0.00      1.98      0.00      0.00     47.52
11:58:04 AM      10      8.08      0.00      0.00      0.00      0.00     91.92
11:58:04 AM      11      1.00      0.00      1.00      0.00      0.00     98.00
11:58:04 AM      12      3.92      0.00      2.94      0.00      0.00     93.14
11:58:04 AM      13      1.00      0.00      1.00      0.00      0.00     98.00
11:58:04 AM      14      2.97      0.00      2.97      0.00      0.00     94.06
11:58:04 AM      15      1.00      0.00      0.00      0.00      0.00     99.00

11:58:04 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:05 AM     all      6.76      0.00      0.75      0.00      0.00     92.49
11:58:05 AM       0      1.02      0.00      0.00      0.00      0.00     98.98
11:58:05 AM       1      0.00      0.00      2.91      0.00      0.00     97.09
11:58:05 AM       2      1.01      0.00      1.01      0.00      0.00     97.98
11:58:05 AM       3      0.00      0.00      2.00      0.00      0.00     98.00
11:58:05 AM       4      0.00      0.00      1.00      0.00      0.00     99.00
11:58:05 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:58:05 AM       6      4.00      0.00      0.00      0.00      0.00     96.00
11:58:05 AM       7      1.00      0.00      1.00      0.00      0.00     98.00
11:58:05 AM       8     98.00      0.00      2.00      0.00      0.00      0.00
11:58:05 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:05 AM      10      1.00      0.00      0.00      0.00      0.00     99.00
11:58:05 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
11:58:05 AM      12      1.98      0.00      0.99      0.00      0.00     97.03
11:58:05 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:58:05 AM      14      0.00      0.00      1.01      0.00      0.00     98.99
11:58:05 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:58:05 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:06 AM     all      6.57      0.00      1.31      0.13      0.00     91.99
11:58:06 AM       0      2.94      0.00      3.92      0.00      0.00     93.14
11:58:06 AM       1      0.99      0.00      0.00      0.00      0.00     99.01
11:58:06 AM       2      3.03      0.00      0.00      0.00      0.00     96.97
11:58:06 AM       3      0.00      0.00      1.02      0.00      0.00     98.98
11:58:06 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:58:06 AM       5      0.00      0.00      1.00      2.00      0.00     97.00
11:58:06 AM       6      2.91      0.00      0.97      0.00      0.00     96.12
11:58:06 AM       7      0.98      0.00      1.96      0.00      0.00     97.06
11:58:06 AM       8     92.00      0.00      8.00      0.00      0.00      0.00
11:58:06 AM       9      1.00      0.00      0.00      0.00      0.00     99.00
11:58:06 AM      10      0.99      0.00      0.99      0.00      0.00     98.02
11:58:06 AM      11      0.00      0.00      1.01      0.00      0.00     98.99
11:58:06 AM      12      0.00      0.00      1.01      0.00      0.00     98.99
11:58:06 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:58:06 AM      14      0.00      0.00      1.01      0.00      0.00     98.99
11:58:06 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:58:06 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:07 AM     all      9.31      0.00      2.55      0.06      0.00     88.08
11:58:07 AM       0      5.60      0.00     21.60      0.00      0.00     72.80
11:58:07 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:07 AM       2      4.00      0.00      4.00      0.00      0.00     92.00
11:58:07 AM       3      6.00      0.00      1.00      0.00      0.00     93.00
11:58:07 AM       4      6.06      0.00      2.02      1.01      0.00     90.91
11:58:07 AM       5      2.06      0.00      0.00      0.00      0.00     97.94
11:58:07 AM       6      4.04      0.00      1.01      0.00      0.00     94.95
11:58:07 AM       7      3.96      0.00      1.98      0.00      0.00     94.06
11:58:07 AM       8     49.00      0.00      0.00      0.00      0.00     51.00
11:58:07 AM       9     52.00      0.00      1.00      0.00      0.00     47.00
11:58:07 AM      10      2.04      0.00      0.00      0.00      0.00     97.96
11:58:07 AM      11      3.06      0.00      0.00      0.00      0.00     96.94
11:58:07 AM      12      6.12      0.00      1.02      0.00      0.00     92.86
11:58:07 AM      13      0.99      0.00      0.99      0.00      0.00     98.02
11:58:07 AM      14      3.03      0.00      0.00      0.00      0.00     96.97
11:58:07 AM      15      1.02      0.00      1.02      0.00      0.00     97.96

11:58:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:08 AM     all      7.02      0.00      0.88      0.00      0.00     92.11
11:58:08 AM       0      2.91      0.00      4.85      0.00      0.00     92.23
11:58:08 AM       1      0.99      0.00      0.00      0.00      0.00     99.01
11:58:08 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:58:08 AM       3      1.01      0.00      1.01      0.00      0.00     97.98
11:58:08 AM       4      2.00      0.00      1.00      0.00      0.00     97.00
11:58:08 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:58:08 AM       6      2.02      0.00      1.01      0.00      0.00     96.97
11:58:08 AM       7      1.00      0.00      0.00      0.00      0.00     99.00
