Linux 5.11.0-41-generic (Niramay-Inspiron-5515) 	12/19/2021 	_x86_64_	(16 CPU)

11:37:51 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:52 AM     all     47.66      0.00      3.45      0.00      0.00     48.89
11:37:52 AM       0     98.02      0.00      1.98      0.00      0.00      0.00
11:37:52 AM       1     96.97      0.00      3.03      0.00      0.00      0.00
11:37:52 AM       2     96.04      0.00      3.96      0.00      0.00      0.00
11:37:52 AM       3     96.00      0.00      4.00      0.00      0.00      0.00
11:37:52 AM       4     98.00      0.00      2.00      0.00      0.00      0.00
11:37:52 AM       5    100.00      0.00      0.00      0.00      0.00      0.00
11:37:52 AM       6     98.00      0.00      1.00      0.00      0.00      1.00
11:37:52 AM       7     81.00      0.00      1.00      0.00      0.00     18.00
11:37:52 AM       8      1.60      0.00     22.40      0.00      0.00     76.00
11:37:52 AM       9      0.97      0.00      3.88      0.00      0.00     95.15
11:37:52 AM      10      1.98      0.00      2.97      0.00      0.00     95.05
11:37:52 AM      11      1.02      0.00      0.00      0.00      0.00     98.98
11:37:52 AM      12      1.02      0.00      2.04      0.00      0.00     96.94
11:37:52 AM      13      1.00      0.00      0.00      0.00      0.00     99.00
11:37:52 AM      14      1.00      0.00      2.00      0.00      0.00     97.00
11:37:52 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:37:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:53 AM     all     38.36      0.00      2.86      0.00      0.00     58.78
11:37:53 AM       0     97.00      0.00      3.00      0.00      0.00      0.00
11:37:53 AM       1     95.96      0.00      4.04      0.00      0.00      0.00
11:37:53 AM       2    100.00      0.00      0.00      0.00      0.00      0.00
11:37:53 AM       3    100.00      0.00      0.00      0.00      0.00      0.00
11:37:53 AM       4     97.00      0.00      3.00      0.00      0.00      0.00
11:37:53 AM       5     96.97      0.00      0.00      0.00      0.00      3.03
11:37:53 AM       6      7.63      0.00     18.64      0.00      0.00     73.73
11:37:53 AM       7      0.99      0.00      1.98      0.00      0.00     97.03
11:37:53 AM       8      2.02      0.00      1.01      0.00      0.00     96.97
11:37:53 AM       9      2.02      0.00      1.01      0.00      0.00     96.97
11:37:53 AM      10      3.00      0.00      2.00      0.00      0.00     95.00
11:37:53 AM      11      3.03      0.00      1.01      0.00      0.00     95.96
11:37:53 AM      12      3.00      0.00      2.00      0.00      0.00     95.00
11:37:53 AM      13      4.04      0.00      1.01      0.00      0.00     94.95
11:37:53 AM      14      5.05      0.00      2.02      0.00      0.00     92.93
11:37:53 AM      15      2.00      0.00      2.00      0.00      0.00     96.00

11:37:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:54 AM     all     30.16      0.00      1.44      0.19      0.00     68.21
11:37:54 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:54 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:37:54 AM       2     98.00      0.00      2.00      0.00      0.00      0.00
11:37:54 AM       3     97.00      0.00      3.00      0.00      0.00      0.00
11:37:54 AM       4     68.87      0.00      5.66      0.00      0.00     25.47
11:37:54 AM       5      0.00      0.00      4.85      0.00      0.00     95.15
11:37:54 AM       6      0.00      0.00      1.01      0.00      0.00     98.99
11:37:54 AM       7      1.00      0.00      0.00      2.00      0.00     97.00
11:37:54 AM       8      1.01      0.00      2.02      0.00      0.00     96.97
11:37:54 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:37:54 AM      10      3.03      0.00      0.00      0.00      0.00     96.97
11:37:54 AM      11      4.08      0.00      1.02      0.00      0.00     94.90
11:37:54 AM      12      1.03      0.00      1.03      0.00      0.00     97.94
11:37:54 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:37:54 AM      14      3.00      0.00      2.00      0.00      0.00     95.00
11:37:54 AM      15      1.01      0.00      0.00      1.01      0.00     97.98

11:37:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:55 AM     all     20.11      0.00      2.95      0.06      0.00     76.88
11:37:55 AM       0     98.00      0.00      2.00      0.00      0.00      0.00
11:37:55 AM       1     98.02      0.00      1.98      0.00      0.00      0.00
11:37:55 AM       2     61.47      0.00      9.17      0.00      0.00     29.36
11:37:55 AM       3     54.00      0.00      1.00      0.00      0.00     45.00
11:37:55 AM       4      0.00      0.00     18.85      0.00      0.00     81.15
11:37:55 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:55 AM       6      0.00      0.00      1.00      0.00      0.00     99.00
11:37:55 AM       7      0.00      0.00      1.01      0.00      0.00     98.99
11:37:55 AM       8      2.00      0.00      1.00      0.00      0.00     97.00
11:37:55 AM       9      2.02      0.00      1.01      0.00      0.00     96.97
11:37:55 AM      10      0.00      0.00      2.00      0.00      0.00     98.00
11:37:55 AM      11      2.02      0.00      1.01      0.00      0.00     96.97
11:37:55 AM      12      1.01      0.00      1.01      0.00      0.00     97.98
11:37:55 AM      13      0.99      0.00      0.99      0.00      0.00     98.02
11:37:55 AM      14      1.01      0.00      1.01      0.00      0.00     97.98
11:37:55 AM      15      0.00      0.00      0.00      1.02      0.00     98.98

11:37:55 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:56 AM     all     14.25      0.00      3.26      0.00      0.00     82.49
11:37:56 AM       0     94.00      0.00      6.00      0.00      0.00      0.00
11:37:56 AM       1     98.00      0.00      2.00      0.00      0.00      0.00
11:37:56 AM       2      0.00      0.00     26.12      0.00      0.00     73.88
11:37:56 AM       3      0.00      0.00      1.00      0.00      0.00     99.00
11:37:56 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:56 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:56 AM       6      0.99      0.00      1.98      0.00      0.00     97.03
11:37:56 AM       7      0.99      0.00      0.99      0.00      0.00     98.02
11:37:56 AM       8      3.03      0.00      0.00      0.00      0.00     96.97
11:37:56 AM       9      2.00      0.00      2.00      0.00      0.00     96.00
11:37:56 AM      10      8.16      0.00      0.00      0.00      0.00     91.84
11:37:56 AM      11     16.16      0.00      1.01      0.00      0.00     82.83
11:37:56 AM      12      1.01      0.00      2.02      0.00      0.00     96.97
11:37:56 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:37:56 AM      14      5.05      0.00      1.01      0.00      0.00     93.94
11:37:56 AM      15      3.03      0.00      0.00      0.00      0.00     96.97

11:37:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:57 AM     all     13.62      0.00      1.62      0.12      0.00     84.64
11:37:57 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:57 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:37:57 AM       2      0.90      0.00     12.61      0.00      0.00     86.49
11:37:57 AM       3      1.00      0.00      1.00      0.00      0.00     98.00
11:37:57 AM       4      0.00      0.00      1.00      0.00      0.00     99.00
11:37:57 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:57 AM       6      1.00      0.00      0.00      0.00      0.00     99.00
11:37:57 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:37:57 AM       8      3.00      0.00      1.00      0.00      0.00     96.00
11:37:57 AM       9      1.02      0.00      0.00      0.00      0.00     98.98
11:37:57 AM      10      3.96      0.00      1.98      0.00      0.00     94.06
11:37:57 AM      11      0.00      0.00      1.02      0.00      0.00     98.98
11:37:57 AM      12      3.96      0.00      1.98      0.00      0.00     94.06
11:37:57 AM      13      0.00      0.00      1.00      2.00      0.00     97.00
11:37:57 AM      14      1.02      0.00      1.02      0.00      0.00     97.96
11:37:57 AM      15      2.97      0.00      1.98      0.00      0.00     95.05

11:37:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:58 AM     all     12.69      0.00      1.43      0.00      0.00     85.87
11:37:58 AM       0     96.00      0.00      0.00      0.00      0.00      4.00
11:37:58 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:37:58 AM       2      0.85      0.00     16.24      0.00      0.00     82.91
11:37:58 AM       3      1.00      0.00      0.00      0.00      0.00     99.00
11:37:58 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       8      1.02      0.00      1.02      0.00      0.00     97.96
11:37:58 AM       9      1.00      0.00      0.00      0.00      0.00     99.00
11:37:58 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM      12      1.02      0.00      1.02      0.00      0.00     97.96
11:37:58 AM      13      1.00      0.00      0.00      0.00      0.00     99.00
11:37:58 AM      14      1.00      0.00      2.00      0.00      0.00     97.00
11:37:58 AM      15      1.01      0.00      0.00      0.00      0.00     98.99

11:37:58 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:59 AM     all      4.83      2.66     10.90      0.06      0.00     81.54
11:37:59 AM       0      0.00      0.00     20.16      0.00      0.00     79.84
11:37:59 AM       1     18.00      0.00      0.00      0.00      0.00     82.00
